File;UUID;English;Russian
Ln\AMER_UniqueEffects.lsx;AMER_UNI_CataclysmProc;Cataclysm;Катаклизм
Ln\AMER_UniqueEffects.lsx;AMER_UNI_ZenithProc;Zenith Fireball;Огненный шар Зенита
Ln\AMER_UniqueEffects.lsx;AMER_UNI_SacrificeProc;Sacrifice;Жертва
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PatienceProc;Patience;Терпение
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PariahProc;Pariah;Изгой
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProc;Good Housekeeping;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_SacrificeProc1;"<font color=""c7a758"">Sacrifice I</font>";"<font color=""c7a758"">Жертва I</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_SacrificeProc2;"<font color=""c7a758"">Sacrifice II</font>";"<font color=""c7a758"">Жертва II</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_SacrificeProc3;"<font color=""c7a758"">Sacrifice III</font>";"<font color=""c7a758"">Жертва III</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_SacrificeProc4;"<font color=""c7a758"">Sacrifice IV</font>";"<font color=""c7a758"">Жертва IV</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_SacrificeProc5;"<font color=""c7a758"">Sacrifice V</font>";"<font color=""c7a758"">Жертва V</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PariahProc1;"<font color=""c7a758"">Pariah I</font>";"<font color=""c7a758"">Изгой I</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PariahProc2;"<font color=""c7a758"">Pariah II</font>";"<font color=""c7a758"">Изгой II</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PariahProc3;"<font color=""c7a758"">Pariah III</font>";"<font color=""c7a758"">Изгой III</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PariahProc4;"<font color=""c7a758"">Pariah IV</font>";"<font color=""c7a758"">Изгой IV</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PariahProc5;"<font color=""c7a758"">Pariah V</font>";"<font color=""c7a758"">Изгой V</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PatienceProc1;"<font color=""c7a758"">Patience I</font>";"<font color=""c7a758"">Терпение I</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PatienceProc2;"<font color=""c7a758"">Patience II</font>";"<font color=""c7a758"">Терпение II</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PatienceProc3;"<font color=""c7a758"">Patience III</font>";"<font color=""c7a758"">Терпение III</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PatienceProc4;"<font color=""c7a758"">Patience VI</font>";"<font color=""c7a758"">Терпение VI</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_PatienceProc5;"<font color=""c7a758"">Patience V</font>";"<font color=""c7a758"">Терпение V</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech1;Oooh! Such strong hands!;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech2;Do you HAVE to go below the belt!?;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech3;Get to da choppa!;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech4;That's a CLEAN hit, HA! Get it?;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech5;Is it weird to like the taste of blood?;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech6;Housekeeping!;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech7;Furin frequently flounders frivolously for finance fees forwarded finally.;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech8;You know, I feel like we're really beginning to understand each other.;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech9;The BROOM! Give him the BROOM!;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech10;Cleanliness is next to godliness.;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech11;"My mother used to tell me, ""stop trying to fight fire!"" She *was* a Bissell... Love ya mom.";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech12;Strong, broad strokes!;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech13;BOOM! Imma BROOM, baby!;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_FurinProcSpeech14;Have you seen my dustpan?;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_WendigoStance_DisplayName;Wendigo;Вендиго
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_WendigoStance_Description;With the Predator talent, this grisly trophy grants one additional Predator reaction each round.;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Wendigo;"<font color=""c7a758"">Wendigo</font>";"<font color=""c7a758"">Вендиго</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Seraph;"<font color=""c7a758"">Seraph</font>";"<font color=""c7a758"">Серафим</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Ghostflame;"<font color=""c7a758"">Ghostflame</font>";"<font color=""c7a758"">Призрачное Пламя</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Arcturus;"<font color=""c7a758"">Arcturus</font>";"<font color=""c7a758"">Арктур</font>"
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_ArcturusStance_DisplayName;Arcturus;Арктур
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_ArcturusStance_Description;Opportunist's attack bonuses apply to Centurion retaliations.;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_GhostflameStance_DisplayName;Ghostflame;Призрачное Пламя
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_GhostflameStance_Description;With the Demon talent, this ghastly token grants one additional Demon reaction each round.;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_SeraphStance_DisplayName;Seraph;Серафим
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_SeraphStance_Description;With the Angel talent, this angelic relic grants one additional Angel reaction each round.;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_AbyssStance_DisplayName;Abyss;Бездна
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_AbyssStance_Description;In attuning to the hellish voidplate, Abyss grants +[1]% increased damage and +[2]% critical chance.;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Abyss_A;"<font color=""c7a758"">Abyss</font>";"<font color=""c7a758"">Бездна</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Abyss_B;"<font color=""c7a758"">Abyss</font>";"<font color=""c7a758"">Бездна</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Abyss_C;"<font color=""c7a758"">Abyss</font>";"<font color=""c7a758"">Бездна</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Abyss_D;"<font color=""c7a758"">Abyss</font>";"<font color=""c7a758"">Бездна</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Abyss_E;"<font color=""c7a758"">Abyss</font>";"<font color=""c7a758"">Бездна</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Antediluvian;"<font color=""c7a758"">Antediluvian Carapace</font>";
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_AntediluvianStance_DisplayName;Antediluvian Carapace;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_AntediluvianStance_Description;Bound to the elements, this ancient plate grants +5% to all non-physical maximum resistances while active.;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_EmpyreanStance_Description;The arcane mechanisms of this powerful artifact instantly regenerate 1% of damage suffered for each point of intelligence you have.;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_EmpyreanStance_DisplayName;Empyrean Barrier;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Empyrean;"<font color=""c7a758"">Empyrean Barrier</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Necromancer;"<font color=""c7a758"">Necromancer's Cloak</font>";
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_NecromancerStance_DisplayName;Necromancer's Cloak;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_NecromancerStance_Description;While active, this grim garb grants +1 AP Recovery for every corpse within 3.0m, up to +3, at the end of each turn.;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_NecromancerAP1;Necromancer's Cloak;Плащ Некроманта
Ln\AMER_UniqueEffects.lsx;AMER_UNI_NecromancerAP2;Necromancer's Cloak;Плащ Некроманта
Ln\AMER_UniqueEffects.lsx;AMER_UNI_NecromancerAP3;Necromancer's Cloak;Плащ Некроманта
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Vault;"<font color=""c7a758"">The Vault</font>";"<font color=""c7a758"">Сокровищница</font>"
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_VaultStance_DisplayName;The Vault;Сокровищница
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_VaultStance_Description;The Vault's powerful magic multiplies your energy as you bide, while active, 30% of current action points are gained as action point recovery at the end of each turn.;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_BountyHunter;"<font color=""c7a758"">Bounty Hunter</font>";
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_BountyHunter_DisplayName;Bounty Hunter;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_BountyHunter_StatsDescription;"<p align=""left""><font face=""Copperplate Gothic Bold"">Physical resistances: [1]%.<br>Gold awarded is based on your level, boss-creatures are worth 10 times normal bounty.</font></p>";
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_BountyHunter_Description;Suddenly your target has a sizeable reward for slaying, gold will be awarded to any Bounty Hunter who scores the killing blow.;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_BountyHunter_B;"<font color=""c7a758"">Bounty Hunter</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_BountyHunter_C;"<font color=""c7a758"">Bounty Hunter</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_BountyHunter_D;"<font color=""c7a758"">Bounty Hunter</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_BountyHunter_E;"<font color=""c7a758"">Bounty Hunter</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_BountyHunterSelf;Bounty Hunter;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Vault_AP1;"<font color=""c7a758"">The Vault</font>";"<font color=""c7a758"">Сокровищница</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Vault_AP2;"<font color=""c7a758"">The Vault</font>";"<font color=""c7a758"">Сокровищница</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Vault_AP4;"<font color=""c7a758"">The Vault</font>";"<font color=""c7a758"">Сокровищница</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Vault_AP8;"<font color=""c7a758"">The Vault</font>";"<font color=""c7a758"">Сокровищница</font>"
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Urgency;"<font color=""c7a758"">Urgency</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_UrgencyBuff1;"<font color=""c7a758"">Urgency I</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_UrgencyBuff2;"<font color=""c7a758"">Urgency II</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_UrgencyBuff3;"<font color=""c7a758"">Urgency III</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_UrgencyBuff4;"<font color=""c7a758"">Urgency IV</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_UrgencyBuff5;"<font color=""c7a758"">Urgency V</font>";
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_Urgency_DisplayName;Urgency;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_Urgency_Description;While active, Urgency heightens your senses during states of high adrenaline, granting additional movement speed, chance to hit, and damage while injured.;
Ln\AMER_UniqueEffects.lsx;AMER_SKILL_UNI_Urgency_StatsDescription;"<p align=""left""><font face=""Copperplate Gothic Bold"">99-80%: +[1]% hit chance, +[2]% damage.<br>79-60%: +[3]% movement, +[4]% hit chance, +[5]% damage.<br>59-40%: +[6]% movement, +[7]% hit chance, +[8]% damage.<br>39-20%: +[9]% movement, +[10]% hit chance, +[11]% damage.<br>19-0%: +[12]% movement, +[13]% hit chance, +[14]% damage.</font><br><br>Lasts until cancelled or replaced by another stance.</p>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_ChthonianProc;Chthonic Terraforming;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_MomentumProc;Impetus;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_MomentumDebuff1;"<font color=""c7a758"">Momentum I</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_MomentumDebuff2;"<font color=""c7a758"">Momentum II</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_MomentumDebuff3;"<font color=""c7a758"">Momentum III</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_MomentumDebuff4;"<font color=""c7a758"">Momentum IV</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_MomentumDebuff5;"<font color=""c7a758"">Momentum V</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Discipline;"<font color=""c7a758"">Discipline</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Zeal;"<font color=""c7a758"">Fanaticism</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_LeviathanProc;Lumbering;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_Leviathan;"<font color=""c7a758"">Lumbering</font>";
Ln\AMER_UniqueEffects.lsx;AMER_UNI_LodestoneProc;Lodestone Translocation;
Ln\AMER_UniqueEffects.lsx;AMER_UNI_GramProc;Gram Poison Lance;
Ln\ayylmao.lsx;SKILLBOOST_ImmolationStatus;Immolated;
Ln\ayylmao.lsx;Target_PetrifyingTouch_Description;Turn a nearby target and enemies within [3] meters of it to stone, dealing [2] damage. Creates an oil surface beneath the primary target.;
Ln\ayylmao.lsx;ProjectileStrike_BoulderBash_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    9 Intelligence<br>    •    2 Geomancer<br>    •    Cooldown -3 at 13 Intelligence</font><br><br><font face=""Copperplate Gothic Bold"">Range: [3]<br>Radius: [2]</font></p>";
Ln\ayylmao.lsx;Target_Immolate_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    13 Intelligence<br>    •    5 Pyrokinetic<br>    •    Cooldown -2 at 15 Intelligence</font><br><br><font face=""Copperplate Gothic Bold"">Range: [1]<br>Soulburn has no Saving Throw.<br>Armor: [3]<br>All Resistances: [4]%<br>Willpower: [5]<br>Grit: [6]</font><br><br>Burning targets take fire damage over time and are more susceptible to fire damage, but are resistant to water.</p>";
Ln\ayylmao.lsx;Projectile_IceShardStart_Description;Shoot [3] frozen shards of ice that each freeze and deal [1] damage.;
Ln\ayylmao.lsx;Projectile_IceShardStart_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    10 Intelligence<br>    •    3 Hydrosophist<br>    •    Cooldown -4 at 15 Intelligence</font><br><br><font face=""Copperplate Gothic Bold"">Range: [2]</font><br><br>Frozen makes a target unable to move or act and more susceptible to water damage, but it gains armor and fire resistance.<br>Can target terrain to create ice surface or freeze water.</p>";
Ln\ayylmao.lsx;Summon_Ooze_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    5 Geomancer<br>    •    Cooldown -2 at 15 Intelligence</font><br><br><font face=""Copperplate Gothic Bold"">Range: [2]</font><br><br>The Ooze has a massive amount of hit points, heals from poison, deals earth damage, and can cast Poison Ball once.<br>Its melee strikes have a 20% chance of slowing down its target.<br><br>You can only have one summon at a time.</p>";
Ln\ayylmao.lsx;Projectile_BlitzBoltStart_Description;Fire an arc of electricity that Shocks and deals [1] damage and has a [3] chance to pierce through to additional targets in the chosen line.;
Ln\ayylmao.lsx;MultiStrike_LightningStrike_Description;"Jump from one target to the next, hitting a maximum of [1] targets; shocking and dealing [2] damage. The caster remains behind the final target struck.";
Ln\ayylmao.lsx;Target_InstantPressure_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    10 Intelligence<br>    •    3 Aerotheurge<br>    •    Cooldown -4 at 15 Intelligence</font><br><br><font face=""Copperplate Gothic Bold"">Range: [2]</font><br><br>Attacks against blinded characters cannot miss.<br>Blinded characters cannot target others unless they're standing right next to them. Blindness reduces a Hyperacute character's chance to detect hidden enemies.</p>";
Ln\ayylmao.lsx;Target_InstantPressure_Description;Create a powerful surge of pressure within the target's head. Deals [1] damage and causes blindness.;
Ln\ayylmao.lsx;Shout_InvisibilitySelf_Description;Touch a target, causing their form to flicker for an instant before vanishing entirely.;
Ln\ayylmao.lsx;Shout_InvisibilitySelf_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    10 Intelligence<br>    •    Cooldown -3 at 15 Intelligence</font><br><br><font face=""Copperplate Gothic Bold"">Range: [1]</font><br><br>When you are invisible, enemies cannot see you or target you directly.<br>Attacks made while invisible cannot miss.<br>Invisibility breaks when casting, attacking, taking damage, or when detected.</p>";
Ln\ayylmao.lsx;Tornado_Air_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    12 Intelligence<br>    •    4 Aerotheurge<br>    •    Cooldown -4 at 15 Intelligence</font><br><font face=""Copperplate Gothic Bold""><br>Range: [3]<br>Tornado effect radius: [1]</font></p>";
Ln\ayylmao.lsx;Tornado_Air_Description;Snakes through the battlefield to the chosen destination. Chills, slows, and deals [2] damage to enemies it contacts. Leaves a trail of water behind as it travels.;
Ln\ayylmao.lsx;Projectile_ChainLightning_Description;Channel [5] shocking bursts of lightning to arc across up to [2] targets in a [3] radius, dealing [1] damage to each.;
Ln\ayylmao.lsx;Projectile_InfectiousFlame_Description;Conjure an intelligent flame that attempts to attach itself to your target and up to two other enemies nearby. Initially deals [1] damage and causes Disease. Those who are afflicted with Infectious Flame explode each turn, again damaging and Diseasing enemies within 4.0m.;
Ln\ayylmao.lsx;Projectile_InfectiousFlame_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    13 Intelligence<br>    •    5 Pyrokinetic<br>    •    Cooldown -4 at 15 Intelligence</font><br><br><font face=""Copperplate Gothic Bold"">Range: [2]</font><br><br>Disease lowers target's constitution by [3] and Grit ability by [4].</p>";
Ln\ayylmao.lsx;Shout_MeleePowerStance_StatsDescription;"<p align=""left""><br><br><font face=""Copperplate Gothic Bold"">Chance to Hit: +[1]%<br>Movement speed: [2]%</font><br><br>Lasts until cancelled or replaced by another stance.</p>";
Ln\ayylmao.lsx;Shout_MeleePowerStance_Description;Improves accuracy at the cost of movement speed. (Toggle Stance);
Ln\ayylmao.lsx;Shout_BarbedCoat_Description;"The Soldier's shield is as much a weapon as a sword; returning damage to those that would strike you in melee combat. (Toggle Stance)";
Ln\ayylmao.lsx;Shout_BarbedCoat_DisplayName;Spiked Shell;
Ln\ayylmao.lsx;Shout_BarbedCoat_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    Cooldown -2 at 15 Strength</font><br><br><font face=""Copperplate Gothic Bold"">Reflect 50% of melee damage taken to attackers as piercing.</font><br><br>Lasts until cancelled or replaced by another stance.</p>";
Ln\ayylmao.lsx;Shout_ElementalTortoise_Description;"The trained Soldier with a shield fears no element; gain massive elemental defense at the cost of movement speed.  (Toggle Stance)";
Ln\ayylmao.lsx;Shout_ElementalTortoise_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    Cooldown -2 at 15 Strength</font><br><br><font face=""Copperplate Gothic Bold"">Fire resistance: +[1]%<br>Water resistance: +[2]%<br>Air resistance: +[3]%<br>Earth resistance: +[4]%<br>Movement Speed: [5]%</font><br><br>Lasts until cancelled or replaced by another stance.</p>";
Ln\ayylmao.lsx;Target_Flurry_Description;Lash out at a target with a barrage of four strikes, each dealing [1] damage.;
Ln\ayylmao.lsx;Target_Flurry_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    5 Soldier<br>    •    Cooldown -2 at 15 Strength</font><br><br><font face=""Copperplate Gothic Bold"">Range: [2]</font><br><br>Damage dealt depends on your weapon's damage rating. When dual-wielding, the combined damage is considered.</p>";
Ln\ayylmao.lsx;Shout_Whirlwind_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    Cooldown -2 at 15 Strength</font><br><br><font face=""Copperplate Gothic Bold"">Radius: [2]</font><br><br>Damage dealt depends on your weapon's damage rating. When dual-wielding, the combined damage is considered.</p>";
Ln\ayylmao.lsx;Target_Doctor_Description;Cures Weak, Blind, Mute, Decaying Touch, and Disease. Grants [2] Grit for 2 turns.;
Ln\ayylmao.lsx;Target_FirstAid_Description;Cures bleeding, crippled, burning, and diseased. Heals target for a percentage of their maximum vitality. Grants +[2] Grit for 2 turns.;
Ln\ayylmao.lsx;Shout_RangedPrecisionStance_Description;Improve your chance to hit and critically strike with bow and crossbow at the cost of movement speed. (Toggle Stance);
Ln\ayylmao.lsx;Shout_RangedPrecisionStance_StatsDescription;"<p align=""left""><br><br><font face=""Copperplate Gothic Bold"">Chance to hit: +[1]%<br>Critical Chance: +[3]%<br>Movement: [2]%</font><br><br>Lasts until cancelled or replaced by another stance.</p>";
Ln\ayylmao.lsx;Shout_RangedPowerStance_Description;Improve damage while wielding a bow or crossbow. (Toggle Stance);
Ln\ayylmao.lsx;Shout_RangedPowerStance_StatsDescription;"<p align=""left""><br><br><font face=""Copperplate Gothic Bold"">Damage: +[1]%</font><br><br>Lasts until cancelled or replaced by another stance.</p>";
Ln\ayylmao.lsx;AMER_Sunder;Armor Pierced;
Ln\ayylmao.lsx;Projectile_VampiricArrow_Description;Fire a heavily imbued arrow that deals [1] damage and siphons the life of its victim to you, healing a small amount instantly.;
Ln\ayylmao.lsx;Shout_SurvivorsKarma_Description;Increases the Luck and Critical Chance of all allies affected.;
Ln\ayylmao.lsx;Shout_SurvivorsKarma_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    10 Dexterity<br>    •    3 Ranger<br>    •    Cooldown -2 at 15 Dexterity</font><br><br><font face=""Copperplate Gothic Bold"">Radius: [1]<br>Lucky Charm: +2<br>Critical Chance: +10%</font></p>";
Ln\ayylmao.lsx;AMER_ExtraCrit;Karma;
Ln\ayylmao.lsx;Rain_RainOfArrows_Description;Loose a shower of piercing arrows to rain down upon your enemies. Deals [1] damage to each target within the raidus.;
Ln\ayylmao.lsx;AMER_ChainOne;"<font color=""E5FA00"">Chain Bonus x 1!</font>";
Ln\ayylmao.lsx;AMER_ChainTwo;"<font color=""FADD00"">Chain Bonus x 2!</font>";
Ln\ayylmao.lsx;AMER_ChainThree;"<font color=""FAA300"">Chain Bonus x 3!</font>";
Ln\ayylmao.lsx;AMER_ChainFour;"<font color=""FA7000"">Chain Bonus x 4!</font>";
Ln\ayylmao.lsx;AMER_ChainFive;"<font color=""FA2E00"">Chain Bonus x 5!</font>";
Ln\ayylmao.lsx;AMER_FinisherPreciseIncision;Chain Finisher;
Ln\ayylmao.lsx;Target_PreciseIncision_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    Cooldown -2 at 15 Dexterity</font><br><br><font face=""Copperplate Gothic Bold"">Range: [1]<br><br>Chain Bonus: Reaching Strike</font><br>x1: +35% weapon damage in 5 meter line.<br>x2: Damage to 70%.<br>x3: Line to 180° cone. 50% chance to apply Weak.<br>x4: Damage to 100%. Weak chance to 70%.<br>x5: Damage to 200%.<br><br>Weak lowers target's damage by [2]% and strength by [3]<br>Damage dealt depends on your weapon's damage rating.</p>";
Ln\ayylmao.lsx;Target_PreciseIncision_Description;Pierce deftly into your target, dealing [4] damage and causing weakness.<br>Gains additional effects when used with an active Chain.;
Ln\ayylmao.lsx;AMER_ApplyPreciseIncision;Chain Finisher;
Ln\ayylmao.lsx;AMER_ApplyVenomousStrike;Chain Finisher;
Ln\ayylmao.lsx;Target_Poison_Description;Coat your weapon with a vile poison and strike your target, poisoning and dealing [1] damage.;
Ln\ayylmao.lsx;Target_Poison_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    9 Dexterity</font><br><br><font face=""Copperplate Gothic Bold"">Range: [2]<br><br>Chain Bonus: Toxic Finale</font><br>x1: +25% weapon damage as Poison to target.<br>x2: Damage to 50%.<br>x3: Damage to 100%. 75% chance to inflict Disease for 1 turn.<br>x4: 150% chance to inflict Disease for 2 turns.<br>x5: Damage to 200%. Target is Sickened for 3 turns.<br><br>Poisoned deals poison damage over time.<br>Damage dealt depends on your weapon's damage rating.</p>";
Ln\ayylmao.lsx;Target_Lacerate_Description;Tear open a jagged gash on your target, causing [1] damage and inflicting Bleeding.;
Ln\ayylmao.lsx;Target_Lacerate_StatsDescription;"<p align=""left""><font color=""ff9500"" size=19 face=""Copperplate Gothic Light"">   RECOMMENDED</font><br><font color=cc7700"" face=""Copperplate Gothic Light"">    •    8 Dexterity<br>    •    Cooldown -2 at 15 Dexterity</font><br><br><font face=""Copperplate Gothic Bold"">Range: [2]<br><br>Chain Bonus: Blood Thief</font><br>x1: Heal self 8% of maximum vitality.<br>x2: Heal self 20% of maximum vitality.<br>x3: +70% weapon damage as Slashing to target.<br>x4: 140% chance to inflict Decaying Touch.<br>x5: Damage to 140%. Heal now lasts 3 turns.<br><br>Bleeding deals physical damage over time.<br>Damage dealt depends on your weapon's damage rating.</p>";
Ln\ayylmao.lsx;AMER_LacerateHeal;Blood Thief;
Ln\ayylmao.lsx;AMER_ApplyLacerate;Chain Finisher;
Ln\ayylmao.lsx;AMER_BackstabBonus3;"<font color=""c80000"">Backstab! Damage times 2.3!</font>";
Ln\ayylmao.lsx;AMER_BackstabBonus4;"<font color=""c80000"">Backstab! Damage times 2.6!</font>";
Ln\ayylmao.lsx;AMER_BackstabBonus5;"<font color=""c80000"">Backstab! Damage times 2.9!</font>";
